accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
GCA_900128785,50452,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis alpina,
GCA_001484125,746018,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis montbretiana,
GCA_902206195,586526,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis nemorensis,
GCA_001484925,571359,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis nordmanniana,
GCA_002013935,76974,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Atalantia,Atalantia buxifolia,
GCA_900406295,169069,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Aurinia,Aurinia saxatilis,
GCA_000439995,124943,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,
GCA_021441665,2826164,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes cf. woodruffi 2 WChen-2021,
GCA_001880345,36767,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes focardii,
GCA_021440025,181584,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes parawoodruffi,
GCA_021440005,2655020,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes weissei,
GCA_021439945,5942,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes woodruffi,
GCF_000150955,556484,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,Phaeodactylum tricornutum CCAP 1055/1
GCA_021439955,331608,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Certesiidae,Certesia,Certesia quadrinucleata,
GCA_006510565,132687,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Uronychiidae,Diophrys,Diophrys appendiculata,
GCA_021441625,2826162,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Uronychiidae,Diophrys,Diophrys sp. 3 WChen-2021,
GCA_002087855,47911,Eukaryota,Ciliophora,Litostomatea,Entodiniomorphida,Ophryoscolecidae,Entodinium,Entodinium caudatum,
GCA_021441665,2826164,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes cf. woodruffi 2 WChen-2021,
GCA_001880345,36767,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes focardii,
GCA_021440025,181584,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes parawoodruffi,
GCA_021440005,2655020,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes weissei,
GCA_021439945,5942,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,Euplotes woodruffi,
GCA_006369765,5974,Eukaryota,Ciliophora,Spirotrichea,Sporadotrichida,Halteriidae,Halteria,Halteria grandinella,
GCF_000220395,5932,Eukaryota,Ciliophora,Oligohymenophorea,Hymenostomatida,,Ichthyophthirius,Ichthyophthirius multifiliis,
GCA_001272975,1615773,Eukaryota,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,Laurentiella,Laurentiella sp. PUJRC_G5,
GCA_001880385,5936,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Moneuplotes,Moneuplotes crassus,
GCA_000711775,1172189,Eukaryota,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,Oxytricha,Oxytricha trifallax,
GCA_000733385,65126,Eukaryota,Ciliophora,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,Paramecium biaurelia,
GCA_016759055,74790,Eukaryota,Ciliophora,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,Paramecium bursaria,
GCA_000715435,5885,Eukaryota,Ciliophora,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,Paramecium caudatum,
GCA_905182995,43137,Eukaryota,Ciliophora,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,Paramecium octaurelia,
GCA_905183005,43138,Eukaryota,Ciliophora,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,Paramecium pentaurelia,
GCA_905182975,5886,Eukaryota,Ciliophora,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,Paramecium primaurelia,
GCF_002042975,48498,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,Orbicella faveolata,
GCA_019787425,102205,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Platygyra,Platygyra sinensis,
GCA_018903765,2789722,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila aff. chauvacae BK-2020,
GCA_018150905,7216,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila ambigua,
GCF_017639315,7217,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila ananassae,
GCA_018905855,2793621,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila anomelani,
GCA_008042795,154832,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila asahinai,
GCA_008121215,7248,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila athabasca,
GCA_008042615,47315,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila auraria,
GCA_005876895,7249,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila azteca,
GCA_018874675,137353,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila baimaii,
GCA_008044335,30018,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila bakoue,
GCA_018874595,137354,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila barbarae,
GCF_018148935,125945,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila biarmipes,
GCA_009664405,7218,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila bifasciata,
GCF_018153845,42026,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila bipectinata,
GCA_008042755,46829,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila birchii,
GCA_008042715,103765,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila bocki,
GCA_018151655,74549,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila bocqueti,
GCA_021223745,244254,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila bunnanda,
GCA_008042655,137355,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila burlai,
GCA_018152295,2789720,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila carrolli,
GCA_009767595,104179,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium kawagutii,
GCA_001939145,2951,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium microadriaticum,
GCA_905221605,878477,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium natans,
GCA_905231915,1628268,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium necroappetens,
GCA_905231905,2952,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium pilosum,
GCA_905221635,1519616,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. CCMP2456,
GCA_905221615,631055,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. CCMP2592,
GCA_905221625,230985,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. KB8,
GCA_003297005,1563115,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. clade A,Symbiodinium sp. clade A Y106
GCA_019973915,8227,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Euthynnus,Euthynnus affinis,
GCF_914725855,8236,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus albacares,
GCF_910596095,8240,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus maccoyii,
GCA_021601225,8238,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus orientalis,
GCA_003231725,8237,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus thynnus,
GCA_014633975,367763,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora acuminata,
GCA_014634005,1929007,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora awi,
GCA_014634045,46686,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora cytherea,
GCF_000222465,70779,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora digitifera,
GCA_014634105,513064,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora echinata,
GCA_014634605,70782,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora florida,
GCA_014634125,70780,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora gemmifera,
GCA_020536085,55974,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,
GCA_014634585,114500,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora intermedia,
GCA_014634165,156436,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora microphthalma,
GCF_013753865,45264,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora millepora,
GCA_014634545,159855,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora muricata,
GCA_014634205,70778,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora nasuta,
GCA_014634525,165727,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora selago,
GCA_014633955,70783,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora tenuis,
GCA_014634225,117778,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora yongei,
GCA_011057435,6106,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia equina,
GCF_009602425,6105,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia tenebrosa,
GCA_900234385,51769,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia viridis,
GCA_016068315,160748,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura sola,
GCA_002818225,2020962,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia vespertilionis,
GCA_004802645,1934353,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Amesia,Amesia nigricolor,
GCA_001752565,904709,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium cochliodes,
GCF_000143365,306901,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium globosum,Chaetomium globosum CBS 148.51
GCA_020736525,2821753,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium sp. MPI-CAGE-AT-0009,
GCA_020726445,2823209,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium sp. MPI-SDFR-AT-0129,
GCF_000221225,759272,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium thermophilum,Chaetomium thermophilum var. thermophilum DSM 1495
GCA_019096155,669026,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Staphylotrichum,Staphylotrichum longicolle,
GCF_000226095,573729,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thermothelomyces,Thermothelomyces thermophilus,Thermothelomyces thermophilus ATCC 42464
GCF_000226115,578455,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thermothielavioides,Thermothielavioides terrestris,Thermothielavioides terrestris NRRL 8126
GCA_017139535,1737316,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,Trichocladium uniseriatum,
GCA_011316235,5528,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,Trichocladium griseum,
GCA_008704415,1250544,Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Sphaerosporella,Sphaerosporella brunnea,
GCA_015178995,47213,Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,Trichophaea hybrida,
GCA_014904905,1314677,Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina mikolae,Wilcoxina mikolae CBS 423.85
GCA_003313825,155012,Eukaryota,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Sarcodon,Sarcodon aspratus,
GCA_003313065,2175968,Eukaryota,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Sarcodon,Sarcodon sp. MG97,
GCA_003316405,654496,Eukaryota,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora aurantiotincta,
GCA_014904855,370292,Eukaryota,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora ganbajun,
GCA_015956445,56493,Eukaryota,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora terrestris,
GCA_004802645,1934353,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Amesia,Amesia nigricolor,
GCA_001752565,904709,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium cochliodes,
GCF_000143365,306901,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium globosum,Chaetomium globosum CBS 148.51
GCA_020736525,2821753,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium sp. MPI-CAGE-AT-0009,
GCA_020726445,2823209,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium sp. MPI-SDFR-AT-0129,
GCF_000221225,759272,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium thermophilum,Chaetomium thermophilum var. thermophilum DSM 1495
GCA_001275765,100816,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,,Madurella,Madurella mycetomatis,
GCA_000604205,1266766,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora africana,Neurospora africana FGSC 1740
GCA_009806085,29881,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora cerealis,
GCF_000182925,367110,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora crassa,Neurospora crassa OR74A
GCA_009805215,510953,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora discreta,Neurospora discreta FGSC 8579
GCA_009805235,1266714,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora pannonica,Neurospora pannonica FGSC 7221
GCA_009802275,2304649,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. CHS-2018a,
GCA_009806015,2304650,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. CHS-2018b,
GCA_009806235,2304651,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. CHS-2018c,
GCA_009805935,2306333,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. FGSC 26623,
GCA_009805485,2306334,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. FGSC 26624,
GCA_009805435,2306335,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. FGSC 26625,
GCA_009805385,2306336,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. FGSC 26626,
GCA_009805365,2306337,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora sp. FGSC 26627,
